,ID_analyze,ID_traj,method,MLE,LMLE,L0,N,s,h,u,v,freq_ini,x0,x1,xf,y0,y1,yf,traj_freq,traj_times,traj_emis,traj_ssize
60,0,60,spikedbeta-cunif,-0.04999999999999993,-29.52600683659299,-30.037335991650064,100,0.0,0.5,0.0,0.0,0.5,0.5,0.43,0.04,0.3333333333333333,0.5333333333333333,0.0,[0.5  0.43 0.67 0.68 0.57 0.55 0.38 0.17 0.12 0.04],[ 0 10 20 30 40 50 60 70 80 90],[10 16 22 22 18 16 14  2  3  0],[30 30 30 30 30 30 30 30 30 30]
61,0,61,spikedbeta-cunif,0.21,-12.272033900110626,-14.687546686658083,100,0.0,0.5,0.0,0.0,0.5,0.5,0.52,1.0,0.43333333333333335,0.6,1.0,[0.5  0.52 0.64 0.96 1.   1.   1.   1.   1.   1.  ],[ 0 10 20 30 40 50 60 70 80 90],[13 18 19 28 30 30 30 30 30 30],[30 30 30 30 30 30 30 30 30 30]
62,0,62,spikedbeta-cunif,-0.06999999999999995,-27.746564740070077,-28.732911495198135,100,0.0,0.5,0.0,0.0,0.5,0.5,0.71,0.0,0.5,0.7333333333333333,0.0,[0.5  0.71 0.45 0.5  0.55 0.3  0.07 0.06 0.   0.  ],[ 0 10 20 30 40 50 60 70 80 90],[15 22  9 17 20  8  3  3  0  0],[30 30 30 30 30 30 30 30 30 30]
63,0,63,spikedbeta-cunif,0.0,-31.32879611775838,-31.32879611775838,100,0.0,0.5,0.0,0.0,0.5,0.5,0.63,0.56,0.4,0.7,0.5333333333333333,[0.5  0.63 0.81 0.6  0.5  0.43 0.42 0.52 0.72 0.56],[ 0 10 20 30 40 50 60 70 80 90],[12 21 21 20 11 13 12 13 21 16],[30 30 30 30 30 30 30 30 30 30]
64,0,64,spikedbeta-cunif,0.24,-11.33084859345084,-13.448421190632695,100,0.0,0.5,0.0,0.0,0.5,0.5,0.66,1.0,0.5,0.7,1.0,[0.5  0.66 0.94 0.9  1.   1.   1.   1.   1.   1.  ],[ 0 10 20 30 40 50 60 70 80 90],[15 21 27 27 30 30 30 30 30 30],[30 30 30 30 30 30 30 30 30 30]
65,0,65,spikedbeta-cunif,-0.10999999999999999,-16.121095985528907,-17.357465784600862,100,0.0,0.5,0.0,0.0,0.5,0.5,0.37,0.0,0.4666666666666667,0.4,0.0,[0.5  0.37 0.27 0.31 0.15 0.02 0.02 0.   0.   0.  ],[ 0 10 20 30 40 50 60 70 80 90],[14 12  7  8  6  0  0  0  0  0],[30 30 30 30 30 30 30 30 30 30]
66,0,66,spikedbeta-cunif,-0.14,-12.722394434905684,-14.265561075011599,100,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.43333333333333335,0.4,0.0,[0.5  0.5  0.33 0.29 0.13 0.   0.   0.   0.   0.  ],[ 0 10 20 30 40 50 60 70 80 90],[13 12  5  5  0  0  0  0  0  0],[30 30 30 30 30 30 30 30 30 30]
67,0,67,spikedbeta-cunif,0.15,-15.727611067126354,-17.16461565870095,100,0.0,0.5,0.0,0.0,0.5,0.5,0.68,1.0,0.5666666666666667,0.6666666666666666,1.0,[0.5  0.68 0.53 0.91 0.93 1.   1.   1.   1.   1.  ],[ 0 10 20 30 40 50 60 70 80 90],[17 20 17 29 28 30 30 30 30 30],[30 30 30 30 30 30 30 30 30 30]
68,0,68,spikedbeta-cunif,0.06,-25.765776110583435,-26.471493504742256,100,0.0,0.5,0.0,0.0,0.5,0.5,0.57,1.0,0.5333333333333333,0.6,1.0,[0.5  0.57 0.84 0.58 0.89 0.93 0.94 0.92 0.95 1.  ],[ 0 10 20 30 40 50 60 70 80 90],[16 18 24 18 27 26 27 27 27 30],[30 30 30 30 30 30 30 30 30 30]
69,0,69,spikedbeta-cunif,0.03,-33.706861499107895,-33.75336234571471,100,0.0,0.5,0.0,0.0,0.5,0.5,0.36,0.56,0.5333333333333333,0.3,0.6333333333333333,[0.5  0.36 0.47 0.47 0.56 0.58 0.61 0.93 0.71 0.56],[ 0 10 20 30 40 50 60 70 80 90],[16  9 16  7 19 23 21 29 22 19],[30 30 30 30 30 30 30 30 30 30]
70,0,70,spikedbeta-cunif,-0.030000000000000027,-30.223911989690066,-30.37374703737734,100,0.0,0.5,0.0,0.0,0.5,0.5,0.37,0.19,0.6,0.36666666666666664,0.26666666666666666,[0.5  0.37 0.5  0.36 0.48 0.58 0.51 0.27 0.26 0.19],[ 0 10 20 30 40 50 60 70 80 90],[18 11 14 12 10 17 15  7 11  8],[30 30 30 30 30 30 30 30 30 30]
71,0,71,spikedbeta-cunif,0.0,-35.26518775660526,-35.26518775660526,100,0.0,0.5,0.0,0.0,0.5,0.5,0.64,0.59,0.5,0.7,0.5666666666666667,[0.5  0.64 0.59 0.7  0.25 0.35 0.72 0.75 0.67 0.59],[ 0 10 20 30 40 50 60 70 80 90],[15 21 18 20  4  9 22 24 23 17],[30 30 30 30 30 30 30 30 30 30]
72,0,72,spikedbeta-cunif,0.12,-22.838801308673375,-23.996755102538884,100,0.0,0.5,0.0,0.0,0.5,0.5,0.73,1.0,0.4666666666666667,0.8,1.0,[0.5  0.73 0.82 0.96 0.93 0.9  0.87 0.89 0.98 1.  ],[ 0 10 20 30 40 50 60 70 80 90],[14 24 26 29 27 26 23 28 30 30],[30 30 30 30 30 30 30 30 30 30]
73,0,73,spikedbeta-cunif,0.12,-19.424498962116438,-20.342683306313006,100,0.0,0.5,0.0,0.0,0.5,0.5,0.48,1.0,0.6666666666666666,0.4666666666666667,1.0,[0.5  0.48 0.69 0.94 0.92 0.93 0.99 1.   1.   1.  ],[ 0 10 20 30 40 50 60 70 80 90],[20 14 24 28 28 29 29 30 30 30],[30 30 30 30 30 30 30 30 30 30]
74,0,74,spikedbeta-cunif,0.12,-20.099355580718456,-21.329953398452666,100,0.0,0.5,0.0,0.0,0.5,0.5,0.57,1.0,0.4666666666666667,0.6333333333333333,1.0,[0.5  0.57 0.87 0.86 0.82 0.82 0.98 1.   1.   1.  ],[ 0 10 20 30 40 50 60 70 80 90],[14 19 27 25 25 24 28 30 30 30],[30 30 30 30 30 30 30 30 30 30]
75,0,75,spikedbeta-cunif,0.06,-27.557763768591887,-28.193544585190875,100,0.0,0.5,0.0,0.0,0.5,0.5,0.73,0.99,0.5333333333333333,0.9,1.0,[0.5  0.73 0.7  0.6  0.74 0.8  0.72 0.9  0.92 0.99],[ 0 10 20 30 40 50 60 70 80 90],[16 27 23 20 17 27 24 29 29 30],[30 30 30 30 30 30 30 30 30 30]
76,0,76,spikedbeta-cunif,-0.13,-17.290745599721497,-18.90380123540212,100,0.0,0.5,0.0,0.0,0.5,0.5,0.44,0.0,0.43333333333333335,0.6,0.0,[0.5  0.44 0.28 0.18 0.07 0.   0.   0.   0.   0.  ],[ 0 10 20 30 40 50 60 70 80 90],[13 18  2  6  2  0  0  0  0  0],[30 30 30 30 30 30 30 30 30 30]
77,0,77,spikedbeta-cunif,0.03,-30.87239276232227,-31.237920932260078,100,0.0,0.5,0.0,0.0,0.5,0.5,0.45,0.68,0.4,0.3333333333333333,0.8333333333333334,[0.5  0.45 0.42 0.37 0.27 0.28 0.29 0.42 0.65 0.68],[ 0 10 20 30 40 50 60 70 80 90],[12 10 15 12  3  8 10 15 20 25],[30 30 30 30 30 30 30 30 30 30]
78,0,78,spikedbeta-cunif,0.03,-31.895939186759474,-32.21134730954448,100,0.0,0.5,0.0,0.0,0.5,0.5,0.52,0.71,0.4,0.4,0.7666666666666667,[0.5  0.52 0.48 0.45 0.28 0.43 0.7  0.67 0.77 0.71],[ 0 10 20 30 40 50 60 70 80 90],[12 12 18 12  6 14 22 17 26 23],[30 30 30 30 30 30 30 30 30 30]
79,0,79,spikedbeta-cunif,0.15,-14.964434037773481,-16.461817475755996,100,0.0,0.5,0.0,0.0,0.5,0.5,0.76,1.0,0.5,0.7333333333333333,1.0,[0.5  0.76 0.71 0.68 0.87 1.   1.   1.   1.   1.  ],[ 0 10 20 30 40 50 60 70 80 90],[15 22 23 21 29 30 30 30 30 30],[30 30 30 30 30 30 30 30 30 30]
80,0,80,spikedbeta-cunif,0.0,-30.31181847201369,-30.31181847201369,100,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.44,0.5,0.43333333333333335,0.5333333333333333,[0.5  0.5  0.54 0.5  0.41 0.42 0.36 0.38 0.44 0.44],[ 0 10 20 30 40 50 60 70 80 90],[15 13 19 14  8 13 16 11 12 16],[30 30 30 30 30 30 30 30 30 30]
81,0,81,spikedbeta-cunif,0.09,-24.1286906127381,-25.24382434137973,100,0.0,0.5,0.0,0.0,0.5,0.5,0.33,1.0,0.5333333333333333,0.4,1.0,[0.5  0.33 0.4  0.55 0.69 0.87 0.93 0.97 0.99 1.  ],[ 0 10 20 30 40 50 60 70 80 90],[16 12  8 17 24 28 30 28 30 30],[30 30 30 30 30 30 30 30 30 30]
82,0,82,spikedbeta-cunif,0.09,-19.922340924750618,-20.783870519334577,100,0.0,0.5,0.0,0.0,0.5,0.5,0.71,1.0,0.5666666666666667,0.8,1.0,[0.5  0.71 0.69 0.8  0.82 0.82 1.   1.   1.   1.  ],[ 0 10 20 30 40 50 60 70 80 90],[17 24 21 27 22 24 30 30 30 30],[30 30 30 30 30 30 30 30 30 30]
83,0,83,spikedbeta-cunif,-0.08999999999999997,-20.31328163832841,-21.267033428537907,100,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.4,0.5666666666666667,0.0,[0.5  0.5  0.2  0.2  0.19 0.05 0.04 0.03 0.   0.  ],[ 0 10 20 30 40 50 60 70 80 90],[12 17  8  7  6  0  1  0  0  0],[30 30 30 30 30 30 30 30 30 30]
84,0,84,spikedbeta-cunif,0.03,-31.823518307773448,-32.13813747658764,100,0.0,0.5,0.0,0.0,0.5,0.5,0.53,0.85,0.43333333333333335,0.6666666666666666,0.9,[0.5  0.53 0.63 0.82 0.65 0.45 0.55 0.59 0.6  0.85],[ 0 10 20 30 40 50 60 70 80 90],[13 20 19 26 19 13 13 16 17 27],[30 30 30 30 30 30 30 30 30 30]
85,0,85,spikedbeta-cunif,0.15,-15.760564290691226,-17.47885563454546,100,0.0,0.5,0.0,0.0,0.5,0.5,0.39,1.0,0.5333333333333333,0.3,1.0,[0.5  0.39 0.64 0.83 0.98 1.   1.   1.   1.   1.  ],[ 0 10 20 30 40 50 60 70 80 90],[16  9 18 26 29 30 30 30 30 30],[30 30 30 30 30 30 30 30 30 30]
86,0,86,spikedbeta-cunif,0.0,-34.06744831931101,-34.06744831931101,100,0.0,0.5,0.0,0.0,0.5,0.5,0.55,0.27,0.3,0.7333333333333333,0.3333333333333333,[0.5  0.55 0.37 0.48 0.72 0.38 0.48 0.64 0.59 0.27],[ 0 10 20 30 40 50 60 70 80 90],[ 9 22 10 19 21 12 16 18 17 10],[30 30 30 30 30 30 30 30 30 30]
87,0,87,spikedbeta-cunif,0.18,-18.28466245223575,-20.135328222932145,100,0.0,0.5,0.0,0.0,0.5,0.5,0.86,1.0,0.4666666666666667,0.8333333333333334,1.0,[0.5  0.86 0.8  0.85 0.92 0.93 0.97 1.   1.   1.  ],[ 0 10 20 30 40 50 60 70 80 90],[14 25 27 28 30 28 29 30 30 30],[30 30 30 30 30 30 30 30 30 30]
88,0,88,spikedbeta-cunif,0.0,-29.907100180557087,-29.907100180557087,100,0.0,0.5,0.0,0.0,0.5,0.5,0.38,0.28,0.4666666666666667,0.43333333333333335,0.43333333333333335,[0.5  0.38 0.34 0.62 0.38 0.18 0.39 0.37 0.43 0.28],[ 0 10 20 30 40 50 60 70 80 90],[14 13 11 19 16 14 10 12 17 13],[30 30 30 30 30 30 30 30 30 30]
89,0,89,spikedbeta-cunif,0.18,-13.596372257475053,-15.33110585332396,100,0.0,0.5,0.0,0.0,0.5,0.5,0.72,1.0,0.5333333333333333,0.7333333333333333,1.0,[0.5  0.72 0.91 0.84 1.   1.   1.   1.   1.   1.  ],[ 0 10 20 30 40 50 60 70 80 90],[16 22 27 23 30 30 30 30 30 30],[30 30 30 30 30 30 30 30 30 30]
